,street,city,zip,state,beds,baths,sq__ft,sale_date,price,latitude,longitude,type_Condo,type_Multi-Family,type_Residential
0,3526 HIGH ST,SACRAMENTO,95838,CA,2,1,836,Wed May 21 00:00:00 EDT 2008,59222,38.631913,-121.434879,False,False,True
1,51 OMAHA CT,SACRAMENTO,95823,CA,3,1,1167,Wed May 21 00:00:00 EDT 2008,68212,38.478902,-121.431028,False,False,True
2,2796 BRANCH ST,SACRAMENTO,95815,CA,2,1,796,Wed May 21 00:00:00 EDT 2008,68880,38.618305,-121.443839,False,False,True
3,2805 JANETTE WAY,SACRAMENTO,95815,CA,2,1,852,Wed May 21 00:00:00 EDT 2008,69307,38.616835,-121.439146,False,False,True
4,6001 MCMAHON DR,SACRAMENTO,95824,CA,2,1,797,Wed May 21 00:00:00 EDT 2008,81900,38.51947,-121.435768,False,False,True
5,5828 PEPPERMILL CT,SACRAMENTO,95841,CA,3,1,1122,Wed May 21 00:00:00 EDT 2008,89921,38.662595,-121.327813,True,False,False
6,6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,3,2,1104,Wed May 21 00:00:00 EDT 2008,90895,38.681659,-121.351705,False,False,True
7,2561 19TH AVE,SACRAMENTO,95820,CA,3,1,1177,Wed May 21 00:00:00 EDT 2008,91002,38.535092,-121.481367,False,False,True
8,11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,2,2,941,Wed May 21 00:00:00 EDT 2008,94905,38.621188,-121.270555,True,False,False
9,7325 10TH ST,RIO LINDA,95673,CA,3,2,1146,Wed May 21 00:00:00 EDT 2008,98937,38.700909,-121.442979,False,False,True
10,645 MORRISON AVE,SACRAMENTO,95838,CA,3,2,909,Wed May 21 00:00:00 EDT 2008,100309,38.637663,-121.45152,False,False,True
11,4085 FAWN CIR,SACRAMENTO,95823,CA,3,2,1289,Wed May 21 00:00:00 EDT 2008,106250,38.470746,-121.458918,False,False,True
12,2930 LA ROSA RD,SACRAMENTO,95815,CA,1,1,871,Wed May 21 00:00:00 EDT 2008,106852,38.618698,-121.435833,False,False,True
13,2113 KIRK WAY,SACRAMENTO,95822,CA,3,1,1020,Wed May 21 00:00:00 EDT 2008,107502,38.482215,-121.492603,False,False,True
14,4533 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,2,1022,Wed May 21 00:00:00 EDT 2008,108750,38.672914,-121.35934,False,False,True
15,7340 HAMDEN PL,SACRAMENTO,95842,CA,2,2,1134,Wed May 21 00:00:00 EDT 2008,110700,38.700051,-121.351278,True,False,False
16,6715 6TH ST,RIO LINDA,95673,CA,2,1,844,Wed May 21 00:00:00 EDT 2008,113263,38.689591,-121.452239,False,False,True
17,6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Wed May 21 00:00:00 EDT 2008,116250,38.679776,-121.314089,True,False,False
18,250 PERALTA AVE,SACRAMENTO,95833,CA,2,1,588,Wed May 21 00:00:00 EDT 2008,120000,38.612099,-121.469095,False,False,True
19,113 LEEWILL AVE,RIO LINDA,95673,CA,3,2,1356,Wed May 21 00:00:00 EDT 2008,121630,38.689999,-121.46322,False,False,True
20,6118 STONEHAND AVE,CITRUS HEIGHTS,95621,CA,3,2,1118,Wed May 21 00:00:00 EDT 2008,122000,38.707851,-121.320707,False,False,True
21,4882 BANDALIN WAY,SACRAMENTO,95823,CA,4,2,1329,Wed May 21 00:00:00 EDT 2008,122682,38.468173,-121.444071,False,False,True
22,7511 OAKVALE CT,NORTH HIGHLANDS,95660,CA,4,2,1240,Wed May 21 00:00:00 EDT 2008,123000,38.702792,-121.38221,False,False,True
23,9 PASTURE CT,SACRAMENTO,95834,CA,3,2,1601,Wed May 21 00:00:00 EDT 2008,124100,38.628631,-121.488097,False,False,True
24,3729 BAINBRIDGE DR,NORTH HIGHLANDS,95660,CA,3,2,901,Wed May 21 00:00:00 EDT 2008,125000,38.701499,-121.37622,False,False,True
25,3828 BLACKFOOT WAY,ANTELOPE,95843,CA,3,2,1088,Wed May 21 00:00:00 EDT 2008,126640,38.70974,-121.37377,False,False,True
26,4108 NORTON WAY,SACRAMENTO,95820,CA,3,1,963,Wed May 21 00:00:00 EDT 2008,127281,38.537526,-121.478315,False,False,True
27,1469 JANRICK AVE,SACRAMENTO,95832,CA,3,2,1119,Wed May 21 00:00:00 EDT 2008,129000,38.476472,-121.501711,False,False,True
28,9861 CULP WAY,SACRAMENTO,95827,CA,4,2,1380,Wed May 21 00:00:00 EDT 2008,131200,38.558423,-121.327948,False,False,True
29,7825 CREEK VALLEY CIR,SACRAMENTO,95828,CA,3,2,1248,Wed May 21 00:00:00 EDT 2008,132000,38.472122,-121.404199,False,False,True
30,5201 LAGUNA OAKS DR Unit 140,ELK GROVE,95758,CA,2,2,1039,Wed May 21 00:00:00 EDT 2008,133000,38.423251,-121.444489,True,False,False
31,6768 MEDORA DR,NORTH HIGHLANDS,95660,CA,3,2,1152,Wed May 21 00:00:00 EDT 2008,134555,38.691161,-121.37192,False,False,True
32,3100 EXPLORER DR,SACRAMENTO,95827,CA,3,2,1380,Wed May 21 00:00:00 EDT 2008,136500,38.566663,-121.332644,False,False,True
33,7944 DOMINION WAY,ELVERTA,95626,CA,3,2,1116,Wed May 21 00:00:00 EDT 2008,138750,38.713182,-121.411227,False,False,True
34,5201 LAGUNA OAKS DR Unit 162,ELK GROVE,95758,CA,2,2,1039,Wed May 21 00:00:00 EDT 2008,141000,38.423251,-121.444489,True,False,False
35,3920 SHINING STAR DR,SACRAMENTO,95823,CA,3,2,1418,Wed May 21 00:00:00 EDT 2008,146250,38.48742,-121.462459,False,False,True
36,5031 CORVAIR ST,NORTH HIGHLANDS,95660,CA,3,2,1082,Wed May 21 00:00:00 EDT 2008,147308,38.658246,-121.375469,False,False,True
37,7661 NIXOS WAY,SACRAMENTO,95823,CA,4,2,1472,Wed May 21 00:00:00 EDT 2008,148750,38.479553,-121.463317,False,False,True
38,7044 CARTHY WAY,SACRAMENTO,95828,CA,4,2,1146,Wed May 21 00:00:00 EDT 2008,149593,38.49857,-121.420925,False,False,True
39,2442 LARKSPUR LN,SACRAMENTO,95825,CA,1,1,760,Wed May 21 00:00:00 EDT 2008,150000,38.58514,-121.403736,True,False,False
40,4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,95835,CA,2,2,1304,Wed May 21 00:00:00 EDT 2008,152000,38.658812,-121.542345,True,False,False
41,2178 63RD AVE,SACRAMENTO,95822,CA,3,2,1207,Wed May 21 00:00:00 EDT 2008,154000,38.493955,-121.48966,False,False,True
42,8718 ELK WAY,ELK GROVE,95624,CA,3,2,1056,Wed May 21 00:00:00 EDT 2008,156896,38.41653,-121.379653,False,False,True
43,5708 RIDGEPOINT DR,ANTELOPE,95843,CA,2,2,1043,Wed May 21 00:00:00 EDT 2008,161250,38.72027,-121.331555,False,False,True
44,7315 KOALA CT,NORTH HIGHLANDS,95660,CA,4,2,1587,Wed May 21 00:00:00 EDT 2008,161500,38.699251,-121.371414,False,False,True
45,2622 ERIN DR,SACRAMENTO,95833,CA,4,1,1120,Wed May 21 00:00:00 EDT 2008,164000,38.613765,-121.488694,False,False,True
46,8421 SUNBLAZE WAY,SACRAMENTO,95823,CA,4,2,1580,Wed May 21 00:00:00 EDT 2008,165000,38.450543,-121.432538,False,False,True
47,7420 ALIX PKWY,SACRAMENTO,95823,CA,4,1,1955,Wed May 21 00:00:00 EDT 2008,166357,38.489405,-121.452811,False,False,True
48,3820 NATOMA WAY,SACRAMENTO,95838,CA,4,2,1656,Wed May 21 00:00:00 EDT 2008,166357,38.636748,-121.422159,False,False,True
49,4431 GREEN TREE DR,SACRAMENTO,95823,CA,3,2,1477,Wed May 21 00:00:00 EDT 2008,168000,38.499954,-121.454469,False,False,True
50,9417 SARA ST,ELK GROVE,95624,CA,3,2,1188,Wed May 21 00:00:00 EDT 2008,170000,38.415518,-121.370527,False,False,True
51,8299 HALBRITE WAY,SACRAMENTO,95828,CA,4,2,1590,Wed May 21 00:00:00 EDT 2008,173000,38.473814,-121.4,False,False,True
52,7223 KALLIE KAY LN,SACRAMENTO,95823,CA,3,2,1463,Wed May 21 00:00:00 EDT 2008,174250,38.477553,-121.419463,False,False,True
53,8156 STEINBECK WAY,SACRAMENTO,95828,CA,4,2,1714,Wed May 21 00:00:00 EDT 2008,174313,38.474853,-121.406326,False,False,True
54,7957 VALLEY GREEN DR,SACRAMENTO,95823,CA,3,2,1185,Wed May 21 00:00:00 EDT 2008,178480,38.465184,-121.434925,False,False,True
55,1122 WILD POPPY CT,GALT,95632,CA,3,2,1406,Wed May 21 00:00:00 EDT 2008,178760,38.287789,-121.294715,False,False,True
56,4520 BOMARK WAY,SACRAMENTO,95842,CA,4,2,1943,Wed May 21 00:00:00 EDT 2008,179580,38.665724,-121.358576,False,True,False
57,9012 KIEFER BLVD,SACRAMENTO,95826,CA,3,2,1172,Wed May 21 00:00:00 EDT 2008,181000,38.547011,-121.366217,False,False,True
58,5332 SANDSTONE ST,CARMICHAEL,95608,CA,3,1,1152,Wed May 21 00:00:00 EDT 2008,181872,38.662105,-121.313945,False,False,True
59,5993 SAWYER CIR,SACRAMENTO,95823,CA,4,3,1851,Wed May 21 00:00:00 EDT 2008,182587,38.4473,-121.435218,False,False,True
60,4844 CLYDEBANK WAY,ANTELOPE,95843,CA,3,2,1215,Wed May 21 00:00:00 EDT 2008,182716,38.714609,-121.347887,False,False,True
61,306 CAMELLIA WAY,GALT,95632,CA,3,2,1130,Wed May 21 00:00:00 EDT 2008,182750,38.260443,-121.297864,False,False,True
62,9021 MADISON AVE,ORANGEVALE,95662,CA,4,2,1603,Wed May 21 00:00:00 EDT 2008,183200,38.664186,-121.217511,False,False,True
63,404 6TH ST,GALT,95632,CA,3,1,1479,Wed May 21 00:00:00 EDT 2008,188741,38.251808,-121.302493,False,False,True
64,8317 SUNNY CREEK WAY,SACRAMENTO,95823,CA,3,2,1420,Wed May 21 00:00:00 EDT 2008,189000,38.459041,-121.424644,False,False,True
65,2617 BASS CT,SACRAMENTO,95826,CA,3,2,1280,Wed May 21 00:00:00 EDT 2008,192067,38.560767,-121.377471,False,False,True
66,7005 TIANT WAY,ELK GROVE,95758,CA,3,2,1586,Wed May 21 00:00:00 EDT 2008,194000,38.422811,-121.423285,False,False,True
67,7895 CABER WAY,ANTELOPE,95843,CA,3,2,1362,Wed May 21 00:00:00 EDT 2008,194818,38.711279,-121.393449,False,False,True
68,7624 BOGEY CT,SACRAMENTO,95828,CA,4,4,2162,Wed May 21 00:00:00 EDT 2008,195000,38.48009,-121.415102,False,True,False
69,6930 HAMPTON COVE WAY,SACRAMENTO,95823,CA,3,2,1266,Wed May 21 00:00:00 EDT 2008,198000,38.44004,-121.421012,False,False,True
70,8708 MESA BROOK WAY,ELK GROVE,95624,CA,4,2,1715,Wed May 21 00:00:00 EDT 2008,199500,38.44076,-121.385792,False,False,True
71,120 GRANT LN,FOLSOM,95630,CA,3,2,1820,Wed May 21 00:00:00 EDT 2008,200000,38.687742,-121.17104,False,False,True
72,5907 ELLERSLEE DR,CARMICHAEL,95608,CA,3,1,936,Wed May 21 00:00:00 EDT 2008,200000,38.664468,-121.32683,False,False,True
74,170 PENHOW CIR,SACRAMENTO,95834,CA,3,2,1511,Wed May 21 00:00:00 EDT 2008,208000,38.653439,-121.535169,False,False,True
75,8345 STAR THISTLE WAY,SACRAMENTO,95823,CA,4,2,1590,Wed May 21 00:00:00 EDT 2008,212864,38.454349,-121.439239,False,False,True
76,9080 FRESCA WAY,ELK GROVE,95758,CA,4,2,1596,Wed May 21 00:00:00 EDT 2008,221000,38.427818,-121.424026,False,False,True
77,391 NATALINO CIR,SACRAMENTO,95835,CA,2,2,1341,Wed May 21 00:00:00 EDT 2008,221000,38.67307,-121.506373,False,False,True
78,8373 BLACKMAN WAY,ELK GROVE,95624,CA,5,3,2136,Wed May 21 00:00:00 EDT 2008,223058,38.435436,-121.394536,False,False,True
79,9837 CORTE DORADO CT,ELK GROVE,95624,CA,4,2,1616,Wed May 21 00:00:00 EDT 2008,227887,38.400676,-121.38101,False,False,True
80,5037 J PKWY,SACRAMENTO,95823,CA,3,2,1478,Wed May 21 00:00:00 EDT 2008,231477,38.491399,-121.443547,False,False,True
81,10245 LOS PALOS DR,RANCHO CORDOVA,95670,CA,3,2,1287,Wed May 21 00:00:00 EDT 2008,234697,38.593699,-121.31089,False,False,True
82,6613 NAVION DR,CITRUS HEIGHTS,95621,CA,4,2,1277,Wed May 21 00:00:00 EDT 2008,235000,38.702855,-121.31308,False,False,True
83,2887 AZEVEDO DR,SACRAMENTO,95833,CA,4,2,1448,Wed May 21 00:00:00 EDT 2008,236000,38.618457,-121.509439,False,False,True
84,9186 KINBRACE CT,SACRAMENTO,95829,CA,4,3,2235,Wed May 21 00:00:00 EDT 2008,236685,38.463355,-121.358936,False,False,True
85,4243 MIDDLEBURY WAY,MATHER,95655,CA,3,2,2093,Wed May 21 00:00:00 EDT 2008,237800,38.547991,-121.280483,False,False,True
86,1028 FALLON PLACE CT,RIO LINDA,95673,CA,3,2,1193,Wed May 21 00:00:00 EDT 2008,240122,38.693818,-121.441153,False,False,True
87,4804 NORIKER DR,ELK GROVE,95757,CA,3,2,2163,Wed May 21 00:00:00 EDT 2008,242638,38.400974,-121.448424,False,False,True
88,7713 HARVEST WOODS DR,SACRAMENTO,95828,CA,3,2,1269,Wed May 21 00:00:00 EDT 2008,244000,38.478198,-121.412911,False,False,True
90,6913 RICHEVE WAY,SACRAMENTO,95828,CA,3,1,958,Wed May 21 00:00:00 EDT 2008,244960,38.502519,-121.420769,False,False,True
91,8636 TEGEA WAY,ELK GROVE,95624,CA,5,3,2508,Wed May 21 00:00:00 EDT 2008,245918,38.443832,-121.382087,False,False,True
92,5448 MAIDSTONE WAY,CITRUS HEIGHTS,95621,CA,3,2,1305,Wed May 21 00:00:00 EDT 2008,250000,38.665395,-121.293288,False,False,True
93,18 OLLIE CT,ELK GROVE,95758,CA,4,2,1591,Wed May 21 00:00:00 EDT 2008,250000,38.444909,-121.412345,False,False,True
94,4010 ALEX LN,CARMICHAEL,95608,CA,2,2,1326,Wed May 21 00:00:00 EDT 2008,250134,38.637028,-121.312963,True,False,False
95,4901 MILLNER WAY,ELK GROVE,95757,CA,3,2,1843,Wed May 21 00:00:00 EDT 2008,254200,38.38692,-121.447349,False,False,True
96,4818 BRITTNEY LEE CT,SACRAMENTO,95841,CA,4,2,1921,Wed May 21 00:00:00 EDT 2008,254200,38.653917,-121.34218,False,False,True
97,5529 LAGUNA PARK DR,ELK GROVE,95758,CA,5,3,2790,Wed May 21 00:00:00 EDT 2008,258000,38.42568,-121.438062,False,False,True
98,230 CANDELA CIR,SACRAMENTO,95835,CA,3,2,1541,Wed May 21 00:00:00 EDT 2008,260000,38.656251,-121.547572,False,False,True
99,4900 71ST ST,SACRAMENTO,95820,CA,3,1,1018,Wed May 21 00:00:00 EDT 2008,260014,38.53151,-121.421089,False,False,True
101,4236 NATOMAS CENTRAL DR,SACRAMENTO,95834,CA,3,2,1672,Wed May 21 00:00:00 EDT 2008,265000,38.648879,-121.544023,True,False,False
102,5615 LUPIN LN,POLLOCK PINES,95726,CA,3,2,1380,Wed May 21 00:00:00 EDT 2008,265000,38.708315,-120.603872,False,False,True
103,5625 JAMES WAY,SACRAMENTO,95822,CA,3,1,975,Wed May 21 00:00:00 EDT 2008,271742,38.523947,-121.484946,False,False,True
104,7842 LAHONTAN CT,SACRAMENTO,95829,CA,4,3,2372,Wed May 21 00:00:00 EDT 2008,273750,38.472976,-121.318633,False,False,True
105,6850 21ST ST,SACRAMENTO,95822,CA,3,2,1446,Wed May 21 00:00:00 EDT 2008,275086,38.502194,-121.490795,False,False,True
106,2900 BLAIR RD,POLLOCK PINES,95726,CA,2,2,1284,Wed May 21 00:00:00 EDT 2008,280908,38.75485,-120.60476,False,False,True
107,2064 EXPEDITION WAY,SACRAMENTO,95832,CA,4,3,3009,Wed May 21 00:00:00 EDT 2008,280987,38.474099,-121.490711,False,False,True
108,2912 NORCADE CIR,SACRAMENTO,95826,CA,8,4,3612,Wed May 21 00:00:00 EDT 2008,282400,38.559505,-121.364839,False,True,False
109,9507 SEA CLIFF WAY,ELK GROVE,95758,CA,4,2,2056,Wed May 21 00:00:00 EDT 2008,285000,38.410992,-121.479043,False,False,True
110,8882 AUTUMN GOLD CT,ELK GROVE,95624,CA,4,2,1993,Wed May 21 00:00:00 EDT 2008,287417,38.4439,-121.37255,False,False,True
111,5322 WHITE LOTUS WAY,ELK GROVE,95757,CA,3,2,1857,Wed May 21 00:00:00 EDT 2008,291000,38.391538,-121.442596,False,False,True
112,1838 CASTRO WAY,SACRAMENTO,95818,CA,2,1,1126,Wed May 21 00:00:00 EDT 2008,292024,38.556098,-121.490787,False,False,True
113,10158 CRAWFORD WAY,SACRAMENTO,95827,CA,4,4,2213,Wed May 21 00:00:00 EDT 2008,297000,38.5703,-121.315735,False,True,False
114,7731 MASTERS ST,ELK GROVE,95758,CA,5,3,2494,Wed May 21 00:00:00 EDT 2008,297000,38.442031,-121.410873,False,False,True
115,4925 PERCHERON DR,ELK GROVE,95757,CA,3,2,1843,Wed May 21 00:00:00 EDT 2008,298000,38.40154,-121.447649,False,False,True
116,2010 PROMONTORY POINT LN,GOLD RIVER,95670,CA,2,2,1520,Wed May 21 00:00:00 EDT 2008,299000,38.62869,-121.261669,False,False,True
117,4727 SAVOIE WAY,SACRAMENTO,95835,CA,5,3,2800,Wed May 21 00:00:00 EDT 2008,304037,38.658182,-121.549521,False,False,True
118,8664 MAGNOLIA HILL WAY,ELK GROVE,95624,CA,4,2,2309,Wed May 21 00:00:00 EDT 2008,311000,38.442352,-121.389675,False,False,True
119,9570 HARVEST ROSE WAY,SACRAMENTO,95827,CA,5,3,2367,Wed May 21 00:00:00 EDT 2008,315537,38.555993,-121.340352,False,False,True
120,4359 CREGAN CT,RANCHO CORDOVA,95742,CA,5,4,3516,Wed May 21 00:00:00 EDT 2008,320000,38.545128,-121.224922,False,False,True
122,8929 SUTTERS GOLD DR,SACRAMENTO,95826,CA,4,3,1914,Wed May 21 00:00:00 EDT 2008,328360,38.550848,-121.370224,False,False,True
123,8025 PEERLESS AVE,ORANGEVALE,95662,CA,2,1,1690,Wed May 21 00:00:00 EDT 2008,334150,38.71147,-121.216214,False,False,True
124,4620 WELERA WAY,ELK GROVE,95757,CA,3,3,2725,Wed May 21 00:00:00 EDT 2008,335750,38.398609,-121.450148,False,False,True
125,9723 TERRAPIN CT,ELK GROVE,95757,CA,4,3,2354,Wed May 21 00:00:00 EDT 2008,335750,38.403492,-121.430224,False,False,True
127,100 REBECCA WAY,FOLSOM,95630,CA,3,2,2185,Wed May 21 00:00:00 EDT 2008,344250,38.68479,-121.149199,False,False,True
128,9488 OAK VILLAGE WAY,ELK GROVE,95758,CA,4,2,1801,Wed May 21 00:00:00 EDT 2008,346210,38.41333,-121.404999,False,False,True
129,8495 DARTFORD DR,SACRAMENTO,95823,CA,3,3,1961,Wed May 21 00:00:00 EDT 2008,347029,38.448507,-121.421346,False,False,True
130,6708 PONTA DO SOL WAY,ELK GROVE,95757,CA,4,2,3134,Wed May 21 00:00:00 EDT 2008,347650,38.380635,-121.425538,False,False,True
131,4143 SEA MEADOW WAY,SACRAMENTO,95823,CA,4,3,1915,Wed May 21 00:00:00 EDT 2008,351300,38.46534,-121.457519,False,False,True
134,15300 MURIETA SOUTH PKWY,RANCHO MURIETA,95683,CA,4,3,2734,Wed May 21 00:00:00 EDT 2008,370500,38.4874,-121.075129,False,False,True
135,11215 SHARRMONT CT,WILTON,95693,CA,3,2,2110,Wed May 21 00:00:00 EDT 2008,372000,38.35062,-121.228349,False,False,True
136,7105 DANBERG WAY,ELK GROVE,95757,CA,5,3,3164,Wed May 21 00:00:00 EDT 2008,375000,38.4019,-121.420388,False,False,True
137,5579 JERRY LITELL WAY,SACRAMENTO,95835,CA,5,3,3599,Wed May 21 00:00:00 EDT 2008,381300,38.677126,-121.500519,False,False,True
138,1050 FOXHALL WAY,SACRAMENTO,95831,CA,4,2,2054,Wed May 21 00:00:00 EDT 2008,381942,38.509819,-121.519661,False,False,True
139,7837 ABBINGTON WAY,ANTELOPE,95843,CA,4,2,1830,Wed May 21 00:00:00 EDT 2008,387731,38.709873,-121.339472,False,False,True
140,1300 F ST,SACRAMENTO,95814,CA,3,3,1627,Wed May 21 00:00:00 EDT 2008,391000,38.58355,-121.487289,False,False,True
141,6801 RAWLEY WAY,ELK GROVE,95757,CA,4,3,3440,Wed May 21 00:00:00 EDT 2008,394470,38.408351,-121.423925,False,False,True
142,1693 SHELTER COVE DR,GREENWOOD,95635,CA,3,2,2846,Wed May 21 00:00:00 EDT 2008,395000,38.945357,-120.908822,False,False,True
143,9361 WADDELL LN,ELK GROVE,95624,CA,4,3,2359,Wed May 21 00:00:00 EDT 2008,400186,38.450829,-121.349928,False,False,True
144,10 SEA FOAM CT,SACRAMENTO,95831,CA,3,3,2052,Wed May 21 00:00:00 EDT 2008,415000,38.487885,-121.545947,False,False,True
145,6945 RIO TEJO WAY,ELK GROVE,95757,CA,5,3,3433,Wed May 21 00:00:00 EDT 2008,425000,38.385638,-121.422616,False,False,True
146,4186 TULIP PARK WAY,RANCHO CORDOVA,95742,CA,5,3,3615,Wed May 21 00:00:00 EDT 2008,430000,38.550617,-121.23526,False,False,True
148,207 ORANGE BLOSSOM CIR Unit C,FOLSOM,95630,CA,5,3,2687,Wed May 21 00:00:00 EDT 2008,460000,38.646273,-121.175322,False,False,True
149,6507 RIO DE ONAR WAY,ELK GROVE,95757,CA,4,3,2724,Wed May 21 00:00:00 EDT 2008,461000,38.38253,-121.428007,False,False,True
150,7004 RAWLEY WAY,ELK GROVE,95757,CA,4,3,3440,Wed May 21 00:00:00 EDT 2008,489332,38.406421,-121.422081,False,False,True
151,6503 RIO DE ONAR WAY,ELK GROVE,95757,CA,5,4,3508,Wed May 21 00:00:00 EDT 2008,510000,38.38253,-121.428038,False,False,True
152,2217 APPALOOSA CT,FOLSOM,95630,CA,4,2,2462,Wed May 21 00:00:00 EDT 2008,539000,38.655167,-121.090178,False,False,True
156,4004 CRESTA WAY,SACRAMENTO,95864,CA,3,3,2325,Wed May 21 00:00:00 EDT 2008,660000,38.591618,-121.370626,False,False,True
158,6272 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Tue May 20 00:00:00 EDT 2008,69000,38.680923,-121.313945,True,False,False
159,3432 Y ST,SACRAMENTO,95817,CA,4,2,1099,Tue May 20 00:00:00 EDT 2008,70000,38.554967,-121.468046,False,False,True
160,9512 EMERALD PARK DR Unit 3,ELK GROVE,95624,CA,2,1,840,Tue May 20 00:00:00 EDT 2008,71000,38.40573,-121.369832,True,False,False
161,3132 CLAY ST,SACRAMENTO,95815,CA,2,1,800,Tue May 20 00:00:00 EDT 2008,78000,38.624678,-121.439203,False,False,True
162,5221 38TH AVE,SACRAMENTO,95824,CA,2,1,746,Tue May 20 00:00:00 EDT 2008,78400,38.518044,-121.443555,False,False,True
163,6112 HERMOSA ST,SACRAMENTO,95822,CA,3,1,1067,Tue May 20 00:00:00 EDT 2008,80000,38.515125,-121.480416,False,False,True
164,483 ARCADE BLVD,SACRAMENTO,95815,CA,4,2,1316,Tue May 20 00:00:00 EDT 2008,89000,38.623571,-121.454884,False,False,True
165,671 SONOMA AVE,SACRAMENTO,95815,CA,3,1,1337,Tue May 20 00:00:00 EDT 2008,90000,38.622953,-121.450142,False,False,True
166,5980 79TH ST,SACRAMENTO,95824,CA,2,1,868,Tue May 20 00:00:00 EDT 2008,90000,38.518373,-121.411779,False,False,True
167,7607 ELDER CREEK RD,SACRAMENTO,95824,CA,3,1,924,Tue May 20 00:00:00 EDT 2008,92000,38.51055,-121.414768,False,False,True
168,5028 14TH AVE,SACRAMENTO,95820,CA,2,1,610,Tue May 20 00:00:00 EDT 2008,93675,38.53942,-121.446894,False,False,True
170,1069 ACACIA AVE,SACRAMENTO,95815,CA,2,1,1220,Tue May 20 00:00:00 EDT 2008,98000,38.621998,-121.442238,False,False,True
171,5201 LAGUNA OAKS DR Unit 199,ELK GROVE,95758,CA,1,1,722,Tue May 20 00:00:00 EDT 2008,98000,38.423251,-121.444489,True,False,False
172,3847 LAS PASAS WAY,SACRAMENTO,95864,CA,3,1,1643,Tue May 20 00:00:00 EDT 2008,99000,38.588672,-121.373916,False,False,True
173,5201 LAGUNA OAKS DR Unit 172,ELK GROVE,95758,CA,1,1,722,Tue May 20 00:00:00 EDT 2008,100000,38.423251,-121.444489,True,False,False
